Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2020","2020","An","2713123","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2021","2021","An","2881192","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2022","2022","An","2767236","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2023","2023","An","2815970","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2013","2013","An","485112117","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2014","2014","An","484914637","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2015","2015","An","477232843","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2016","2016","An","463613064","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2017","2017","An","447135791","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2018","2018","An","433709796","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2019","2019","An","316030373","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2020","2020","An","412135713","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2021","2021","An","454805938","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2022","2022","An","457997129","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2023","2023","An","439495570","E","Estimated value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2013","2013","An","6004717","E","Estimated value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2014","2014","An","5806237","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2015","2015","An","5545010","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2016","2016","An","5496216","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2017","2017","An","5442381","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2018","2018","An","5432676","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2019","2019","An","5514211","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2020","2020","An","5512274","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2021","2021","An","5471588","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2022","2022","An","5316431","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02140","Swine / pigs","2023","2023","An","5156174","I","Imputed value",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2013","2013","An","12075750","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2014","2014","An","12331707","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2015","2015","An","12537763","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2016","2016","An","12383000","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2017","2017","An","12307667","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2018","2018","An","12642000","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2019","2019","An","12728000","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2020","2020","An","13391000","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2021","2021","An","13152000","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2022","2022","An","11541000","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5111","Stocks","02140","Swine / pigs","2023","2023","An","11368000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2013","2013","An","13485406","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2014","2014","An","13335192","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2015","2015","An","13162391","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2016","2016","An","12626616","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2017","2017","An","12930857","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2018","2018","An","13713000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2019","2019","An","13510000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2020","2020","An","13393000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2021","2021","An","12941000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2022","2022","An","12182590","A","Official figure",""
"QCL","Crops and livestock products","250","France","5111","Stocks","02140","Swine / pigs","2023","2023","An","11794050","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2013","2013","An","8561683","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2014","2014","An","8676100","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2015","2015","An","8674793","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2016","2016","An","8477930","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2017","2017","An","8570807","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2018","2018","An","8492230","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2019","2019","An","8510270","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2020","2020","An","8543030","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2021","2021","An","8407970","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2022","2022","An","8739000","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5111","Stocks","02140","Swine / pigs","2023","2023","An","9171000","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2013","2013","An","851058","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2014","2014","An","842484","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2015","2015","An","848813","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2016","2016","An","854005","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2017","2017","An","851998","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2018","2018","An","815377","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2019","2019","An","786121","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2020","2020","An","768211","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2021","2021","An","772688","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2022","2022","An","773800","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5111","Stocks","02140","Swine / pigs","2023","2023","An","732000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2013","2013","An","1197698","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2014","2014","An","1229760","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2015","2015","An","1265328","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2016","2016","An","1300064","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2017","2017","An","1314797","I","Imputed value",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2018","2018","An","1318562","I","Imputed value",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2019","2019","An","1315892","I","Imputed value",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2020","2020","An","1307877","I","Imputed value",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2021","2021","An","1336884","I","Imputed value",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2022","2022","An","1346146","I","Imputed value",""
"QCL","Crops and livestock products","600","Paraguay","5111","Stocks","02140","Swine / pigs","2023","2023","An","1330302","E","Estimated value",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2013","2013","An","2014000","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2014","2014","An","2127000","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2015","2015","An","2247000","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2016","2016","An","2151000","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2017","2017","An","2165000","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2018","2018","An","2205050","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2019","2019","An","2255870","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2020","2020","An","2251970","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2021","2021","An","2221020","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2022","2022","An","2183320","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5111","Stocks","02140","Swine / pigs","2023","2023","An","2181040","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2013","2013","An","25494720","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2014","2014","An","26567600","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2015","2015","An","28367335","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2016","2016","An","29231595","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2017","2017","An","29971357","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2018","2018","An","30804100","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2019","2019","An","31246040","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2020","2020","An","32796070","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2021","2021","An","34454090","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2022","2022","An","34073380","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5111","Stocks","02140","Swine / pigs","2023","2023","An","33803040","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2013","2013","An","7605891","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2014","2014","An","7591530","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2015","2015","An","7633877","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2016","2016","An","7680117","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2017","2017","An","7740088","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2018","2018","An","7789624","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2019","2019","An","7820731","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2020","2020","An","7775663","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2021","2021","An","7729007","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2022","2022","An","7725191","I","Imputed value",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2023","2023","An","7721375","I","Imputed value",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2013","2013","An","64774600","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2014","2014","An","67776300","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2015","2015","An","68919300","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2016","2016","An","71345400","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2017","2017","An","73144900","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2018","2018","An","75070200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2019","2019","An","78227600","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2020","2020","An","77312000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2021","2021","An","74606100","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2022","2022","An","74955500","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5111","Stocks","02140","Swine / pigs","2023","2023","An","75816300","A","Official figure",""
